tempo_s;distancia_m
10;155.42
11;167.37
12;179.33
13;191.28
14;203.24
15;215.2
16;226.89
17;237.76
18;247.47
19;256.06
20;263.51
21;269.86
22;275.1
23;279.28
24;282.41
25;284.57
26;285.84
27;286.41
28;286.57
29;286.58
30;286.58
31;286.58
32;286.58
33;286.58
34;286.58
35;286.58
36;286.58
37;286.58
38;286.58
39;286.58
40;286.65
41;287.15
42;288.09
43;289.57
44;291.67
45;294.45
46;297.94
47;302.15
48;307.1
49;312.75
50;319.08
51;326.05
52;333.61
53;341.72
54;350.32
55;359.37
56;368.8
57;378.59
58;388.67
59;399.03
60;409.61
61;420.4
62;431.35
63;442.46
64;453.69
65;465.03
66;476.46
67;487.98
68;499.56
69;511.19
70;522.88
71;534.6
72;546.37
73;558.16
74;569.97
75;581.81
76;593.67
77;605.03
78;615.33
79;624.5
80;632.53
81;639.43
82;645.24
83;649.96
84;653.62
85;656.26
86;657.97
87;658.87
88;659.19
89;659.25
90;659.25
91;659.26
92;659.26
93;659.26
94;659.26
95;659.26
96;659.26
97;659.26
98;659.26
99;659.26
100;659.33
101;659.82
102;660.76
103;662.25
104;664.35
105;667.12
106;670.61
107;674.83
108;679.77
109;685.42
110;691.75
111;698.72
112;706.29
113;714.39
114;723
115;732.04
116;741.48
117;751.26
118;761.35
119;771.7
120;782.29
121;793.07
122;804.03
123;815.13
124;825.95
125;835.9
126;844.71
127;852.39
128;858.96
129;864.43
130;868.82
131;872.16
132;874.51
133;875.95
134;876.64
135;876.85
136;876.88
137;876.88
138;876.88
139;876.88
140;876.88
141;876.88
142;876.88
143;876.88
144;876.88
145;876.88
146;876.88
147;876.95
148;877.44
149;878.39
150;879.87
151;881.97
152;884.75
153;888.24
154;892.45
155;897.39
156;903.05
157;909.38
158;916.35
159;923.91
160;932.02
161;940.62
162;949.66
163;959.1
164;968.88
165;978.97
166;989.33
167;999.91
168;1010.7
169;1021.65
170;1032.76
171;1043.99
172;1055.33
173;1066.76
174;1078.28
175;1089.85
176;1101.08
177;1111.37
178;1120.53
179;1128.55
180;1135.45
181;1141.25
182;1145.96
183;1149.61
184;1152.26
185;1153.96
186;1154.85
187;1155.17
188;1155.23
189;1155.23
190;1155.24
191;1155.24
192;1155.24
193;1155.24
194;1155.24
195;1155.24
196;1155.24
197;1155.24
198;1155.24
199;1155.31
200;1155.8
201;1156.74
202;1158.23
203;1160.33
204;1163.1
205;1166.59
206;1170.81
207;1175.75
208;1181.4
209;1187.73
210;1194.7
211;1202.27
212;1209.53
213;1215.93
214;1221.23
215;1226.71
216;1232.87
217;1239.68
218;1247.1
219;1255.08
220;1263.56
221;1272.5
222;1281.84
223;1291.54
224;1301.56
225;1311.85
226;1322.38
227;1333.11
228;1344.03
229;1355.1
230;1366.3
231;1377.62
232;1389.03
233;1400.52
234;1412.08
235;1423.71
236;1435.38
237;1447.1
238;1458.85
239;1470.63
240;1482.45
241;1494.28
242;1506.13
243;1518
244;1529.88
245;1541.77
246;1553.67
247;1565.58
248;1577.5
249;1589.42
250;1601.35
251;1613.28
252;1625.22
253;1637.16
254;1649.01
255;1660.2
256;1670.25
257;1679.16
258;1686.93
259;1693.59
260;1699.15
261;1703.63
262;1707.06
263;1709.49
264;1711
265;1711.75
266;1711.98
267;1712.02
268;1712.02
269;1712.02
270;1712.02
271;1712.02
272;1712.02
273;1712.02
274;1712.02
275;1712.02
276;1712.02
277;1712.02
278;1712.09
279;1712.58
280;1713.53
281;1715.01
282;1717.11
283;1719.89
284;1723.38
285;1727.59
286;1732.53
287;1738.19
288;1744.52
289;1751.49
290;1759.05
291;1767.16
292;1775.76
293;1784.8
294;1794.24
295;1804.02
296;1814.11
297;1824.47
298;1835.05
299;1845.84
300;1856.79
301;1867.9
302;1879.13
303;1890.47
304;1901.9
305;1913.42
306;1924.71
307;1935.21
308;1944.58
309;1952.81
310;1959.91
311;1965.91
312;1970.82
313;1974.66
314;1977.49
315;1979.35
316;1980.38
317;1980.78
318;1980.87
319;1980.88
320;1980.88
321;1980.88
322;1980.88
323;1980.88
324;1980.88
325;1980.88
326;1981.16
327;1981.85
328;1983.03
329;1984.78
330;1987.18
331;1990.28
332;1994.1
333;1998.64
334;2003.91
335;2009.87
336;2016.5
337;2023.75
338;2030.58
339;2036.45
340;2041.23
341;2044.95
342;2047.66
343;2049.42
344;2050.36
345;2050.71
346;2050.78
347;2050.78
348;2050.78
349;2050.78
350;2050.78
351;2050.78
352;2050.78
353;2050.78
354;2050.78
355;2050.78
356;2050.85
357;2051.34
358;2052.29
359;2053.77
360;2055.87
361;2058.65
362;2062.14
363;2066.35
364;2071.29
365;2076.94
366;2083.28
367;2090.25
368;2097.81
369;2105.92
370;2114.52
371;2123.56
372;2133
373;2142.78
374;2152.87
375;2163.23
376;2173.81
377;2184.6
378;2195.55
379;2206.55
380;2217.69
381;2228.96
382;2240.33
383;2251.78
384;2263.31
385;2274.91
386;2286.56
387;2298.26
388;2310
389;2321.77
390;2333.56
391;2345.39
392;2357.23
393;2369.09
394;2380.97
395;2392.85
396;2404.75
397;2416.66
398;2428.57
399;2440.49
400;2452.42
401;2464.35
402;2476.28
403;2488.22
404;2500.16
405;2512.1
406;2524.05
407;2535.99
408;2547.94
409;2559.89
410;2571.84
411;2583.79
412;2595.74
413;2607.69
414;2619.65
415;2631.51
416;2642.7
417;2652.75
418;2661.66
419;2669.45
420;2676.11
421;2681.67
422;2686.15
423;2689.58
424;2692.02
425;2693.53
426;2694.28
427;2694.52
428;2694.55
429;2694.55
430;2694.55
431;2694.55
432;2694.55
433;2694.55
434;2694.55
435;2694.55
436;2694.55
437;2694.55
438;2694.63
439;2695.12
440;2696.06
441;2697.54
442;2699.65
443;2702.42
444;2705.91
445;2710.13
446;2715.07
447;2720.72
448;2727.05
449;2734.02
450;2741.58
451;2749.69
452;2758.29
453;2767.34
454;2776.77
455;2786.56
456;2796.65
457;2807
458;2817.58
459;2828.37
460;2839.33
461;2850.43
462;2861.66
463;2873
464;2884.44
465;2895.95
466;2907.53
467;2919.16
468;2930.85
469;2942.58
470;2954.34
471;2966.13
472;2977.95
473;2989.78
474;3001.39
475;3012.19
476;3021.85
477;3030.37
478;3037.77
479;3044.05
480;3049.24
481;3053.36
482;3056.44
483;3058.55
484;3059.78
485;3060.32
486;3060.46
487;3060.47
488;3060.47
489;3060.47
490;3060.47
491;3060.47
492;3060.47
493;3060.47
494;3060.47
495;3060.47
496;3060.47
497;3060.47
498;3060.54
499;3061.04
500;3061.98
501;3063.46
502;3065.56
503;3068.34
504;3071.83
505;3076.04
506;3080.98
507;3086.64
508;3092.97
509;3099.94
510;3107.5
511;3115.61
512;3124.21
513;3133.25
514;3142.69
515;3152.47
516;3162.56
517;3172.92
518;3183.5
519;3194.29
520;3203.81
521;3212.28
522;3221.2
523;3230.53
524;3240.21
525;3250.22
526;3260.5
527;3271.02
528;3281.29
529;3290.8
530;3299.32
531;3306.85
532;3313.41
533;3319.01
534;3323.61
535;3327.2
536;3329.79
537;3331.44
538;3332.29
539;3332.59
540;3332.64
541;3332.64
